"Countries, territories and areas",2016 - Population using safely managed sanitation services (%)
Afghanistan,
Albania,44
Algeria,62
Andorra,100
Angola,
Antigua and Barbuda,
Argentina,46
Armenia,11
Australia,95
Austria,100
Azerbaijan,68
Bahamas,
Bahrain,90
Bangladesh,24
Barbados,
Belarus,75
Belgium,88
Belize,
Benin,2
Bhutan,49
Bolivia (Plurinational State of),
Bosnia and Herzegovina,48
Botswana,
Brazil,45
Brunei Darussalam,
Bulgaria,67
Burkina Faso,8
Burundi,
Cote d'Ivoire,15
Cabo Verde,
Cambodia,27
Cameroon,
Canada,83
Central African Republic,15
Chad,10
Chile,95
China,53
Colombia,18
Comoros,
Congo,
Cook Islands,
Costa Rica,24
Croatia,78
Cuba,42
Cyprus,77
Czechia,88
Democratic People's Republic of Korea,
Democratic Republic of the Congo,15
Denmark,98
Djibouti,37
Dominica,
Dominican Republic,46
Ecuador,42
Egypt,64
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,90
Eswatini,
Ethiopia,6
Fiji,48
Finland,89
France,89
Gabon,
Gambia,32
Georgia,29
Germany,97
Ghana,12
Greece,88
Grenada,
Guatemala,
Guinea,
Guinea-Bissau,11
Guyana,47
Haiti,
Honduras,51
Hungary,85
Iceland,
India,39
Indonesia,
Iran (Islamic Republic of),
Iraq,44
Ireland,79
Israel,92
Italy,79
Jamaica,
Japan,99
Jordan,82
Kazakhstan,
Kenya,30
Kiribati,24
Kuwait,100
Kyrgyzstan,92
Lao People's Democratic Republic,56
Latvia,80
Lebanon,25
Lesotho,40
Liberia,
Libya,24
Lithuania,91
Luxembourg,94
Madagascar,10
Malawi,34
Malaysia,82
Maldives,
Mali,13
Malta,88
Marshall Islands,
Mauritania,
Mauritius,
Mexico,48
Micronesia (Federated States of),
Monaco,100
Mongolia,60
Montenegro,46
Morocco,58
Mozambique,
Myanmar,61
Namibia,
Nauru,
Nepal,39
Netherlands (Kingdom of the),97
New Zealand,88
Nicaragua,
Niger,7
Nigeria,28
Niue,
North Macedonia,12
Norway,78
"occupied Palestinian territory, including east Jerusalem",61
Oman,
Pakistan,
Palau,
Panama,
Papua New Guinea,
Paraguay,52
Peru,43
Philippines,57
Poland,97
Portugal,85
Qatar,95
Republic of Korea,97
Republic of Moldova,
Romania,74
Russian Federation,60
Rwanda,
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
Samoa,46
San Marino,90
Sao Tome and Principe,29
Saudi Arabia,80
Senegal,17
Serbia,27
Seychelles,
Sierra Leone,11
Singapore,100
Slovakia,83
Slovenia,81
Solomon Islands,
Somalia,28
South Africa,67
South Sudan,
Spain,90
Sri Lanka,
Sudan,
Suriname,26
Sweden,95
Switzerland,99
Syrian Arab Republic,
Turkiye,66
Tajikistan,
Thailand,25
Timor-Leste,
Togo,5
Tonga,34
Trinidad and Tobago,
Tunisia,75
Turkmenistan,
Tuvalu,40
Uganda,17
Ukraine,67
United Arab Emirates,98
United Kingdom of Great Britain and Northern Ireland,98
United Republic of Tanzania,22
United States of America,97
Uruguay,
Uzbekistan,74
Vanuatu,
Venezuela (Bolivarian Republic of),26
Viet Nam,41
Yemen,18
Zambia,
Zimbabwe,33
