"Countries, territories and areas",2016 - Population using safely managed drinking-water services (%)
Afghanistan,25
Albania,71
Algeria,76
Andorra,91
Angola,
Antigua and Barbuda,
Argentina,
Armenia,83
Australia,
Austria,99
Azerbaijan,68
Bahamas,
Bahrain,99
Bangladesh,57
Barbados,
Belarus,93
Belgium,100
Belize,
Benin,
Bhutan,52
Bolivia (Plurinational State of),
Bosnia and Herzegovina,89
Botswana,
Brazil,83
Brunei Darussalam,
Bulgaria,97
Burkina Faso,
Burundi,
Cote d'Ivoire,37
Cabo Verde,
Cambodia,26
Cameroon,
Canada,99
Central African Republic,7
Chad,6
Chile,99
China,
Colombia,73
Comoros,
Congo,45
Cook Islands,
Costa Rica,80
Croatia,
Cuba,
Cyprus,99
Czechia,98
Democratic People's Republic of Korea,67
Democratic Republic of the Congo,12
Denmark,99
Djibouti,
Dominica,
Dominican Republic,44
Ecuador,66
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,97
Eswatini,
Ethiopia,10
Fiji,41
Finland,100
France,99
Gabon,
Gambia,44
Georgia,68
Germany,100
Ghana,35
Greece,99
Grenada,90
Guatemala,55
Guinea,
Guinea-Bissau,22
Guyana,
Haiti,
Honduras,63
Hungary,93
Iceland,99
India,
Indonesia,29
Iran (Islamic Republic of),93
Iraq,58
Ireland,95
Israel,100
Italy,94
Jamaica,
Japan,98
Jordan,77
Kazakhstan,88
Kenya,
Kiribati,13
Kuwait,100
Kyrgyzstan,69
Lao People's Democratic Republic,16
Latvia,95
Lebanon,47
Lesotho,24
Liberia,
Libya,
Lithuania,94
Luxembourg,100
Madagascar,18
Malawi,14
Malaysia,94
Maldives,
Mali,
Malta,100
Marshall Islands,
Mauritania,
Mauritius,
Mexico,42
Micronesia (Federated States of),
Monaco,100
Mongolia,34
Montenegro,85
Morocco,70
Mozambique,
Myanmar,51
Namibia,
Nauru,
Nepal,24
Netherlands (Kingdom of the),100
New Zealand,95
Nicaragua,55
Niger,
Nigeria,26
Niue,95
North Macedonia,80
Norway,99
"occupied Palestinian territory, including east Jerusalem",78
Oman,89
Pakistan,44
Palau,83
Panama,
Papua New Guinea,
Paraguay,62
Peru,50
Philippines,47
Poland,91
Portugal,95
Qatar,97
Republic of Korea,99
Republic of Moldova,73
Romania,82
Russian Federation,76
Rwanda,
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
Samoa,62
San Marino,100
Sao Tome and Principe,34
Saudi Arabia,
Senegal,25
Serbia,75
Seychelles,
Sierra Leone,9
Singapore,100
Slovakia,99
Slovenia,96
Solomon Islands,
Somalia,
South Africa,
South Sudan,
Spain,100
Sri Lanka,48
Sudan,
Suriname,55
Sweden,100
Switzerland,97
Syrian Arab Republic,
Turkiye,
Tajikistan,53
Thailand,
Timor-Leste,
Togo,17
Tonga,29
Trinidad and Tobago,
Tunisia,77
Turkmenistan,92
Tuvalu,8
Uganda,13
Ukraine,89
United Arab Emirates,
United Kingdom of Great Britain and Northern Ireland,100
United Republic of Tanzania,9
United States of America,97
Uruguay,
Uzbekistan,73
Vanuatu,
Venezuela (Bolivarian Republic of),
Viet Nam,55
Yemen,
Zambia,
Zimbabwe,27
